,Description,Course URL,Assessment of Sustainability Focused or Inclusive,Justification for classification (including quotes from syllabi/course descriptions where applicable),Course Title
3401,"Description: Evolution of key architecture concepts found in advanced uniprocessor systems. Fundamental and advanced pipelining techniques and associated issues for improving processor performance. Illustrated with RISC processors such as the ARM processor. Examine several metrics for processor performance, such as Amdahl’s law. Key concepts of data and program memory systems found in modern systems with memory hierarchies and cashes. Perform experiments in cache performance analysis. Influence of technology trends, such as Moore’s law, on processor implementation Approaches for exploiting instruction level parallelism, such as VLIW. Introduction to parallel and multicore architectures. Introduction to processor architectures targeted for imbedded applications. Cross-list: ELEC 425, Graduate/Undergraduate Equivalency: COMP 554. Mutually Exclusive: Cannot register for COMP 425 if student has credit for COMP 554. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=425&p_subj=COMP,N,0,Computer Systems Architecture
3402,"Description: This elective course covers a wide variety of topics in computer security, including hands-on experience w/breaking software & engineering software to be harder to break. For example, students will perform buffer overflow attacks & exploit web application vulnerabilities, while also learning how to defend against them. Graduate/Undergraduate Equivalency: COMP 327, COMP 541. Mutually Exclusive: Cannot register for COMP 427 if student has credit for COMP 327/COMP 541. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=427&p_subj=COMP,N,0,Intro To Computer Security
3403,"Description: Network architectures, algorithms, and protocols. Local- and Wide-area networking. Intra- and inter-domain routing. Transmission reliability. Flow and congestion control. TCP/IP. Multicast. Quality of Service. Network Security - Networked applications. Cross-list: ELEC 429, Graduate/Undergraduate Equivalency: COMP 556. Mutually Exclusive: Cannot register for COMP 429 if student has credit for COMP 556. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=429&p_subj=COMP,N,0,Intro To Computer Networks
3404,"Description: Introduction to relational and other database systems, SQL programming, Database application programming, and Database design. Graduate/Undergraduate Equivalency: COMP 533. Mutually Exclusive: Cannot register for COMP 430 if student has credit for COMP 533. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=430&p_subj=COMP,N,0,Intro To Database Systems
3405,"Description: In this project-based course, students create multi-user Web applications involving all aspects of application development from front-end and back-end programming to interfacing client-server communications technologies. Class time includes discussions of topics in Web development, structural frameworks, test driven development, and time for students to develop their Web applications. Graduate/Undergraduate Equivalency: COMP 531. Recommended Prerequisite(s): COMP 310 or COMP 321 Mutually Exclusive: Cannot register for COMP 431 if student has credit for COMP 531. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=431&p_subj=COMP,N,0,Web Development
3406,"Description: What is “cloud computing?” How do we build cloud-scale systems and components that are secure against malicious attacks, and scale to millions of users? Many of today’s services run inside the cloud – a set of geographically distributed data centers running heterogeneous software stacks. Cloud systems must scale across tens of thousands of machines, support millions of concurrent requests, and they must do so with high security guarantees. This course will start with the fundamentals of cloud computing, introduce key techniques in building scalable and secure systems and expose students to state-of-the-art research advances as well as emerging security threats and defenses in today’s cloud systems. Cross-list: ELEC 410, Graduate/Undergraduate Equivalency: COMP 536. Mutually Exclusive: Cannot register for COMP 436 if student has credit for COMP 536. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=436&p_subj=COMP,N,0,Secure & Cloud Computing
3407,"Description: This is a foundational course in artificial intelligence, the discipline of designing intelligent agents. The course will cover the design and analysis of agents that do the right thing in the face of limited information and computational resources. The course revolves around two main questions: how agents decide what to do, and how they learn from experience. Tools from computer science, probability theory, and game theory will be used. Interesting examples of intelligent agents will be covered, including poker playing programs, bots for various games (e.g. WoW), DS1 -- the spacecraft that performed an autonomous flyby of Comet Borrely in 2001, Stanley -- the Stanford robot car that won the Darpa Grand Challenge, Google Maps and how it calculates driving directions, face and handwriting recognizers, Fedex package delivery planners, airline fare prediction sites, and fraud detectors in financial transactions. Cross-list: ELEC 440, Graduate/Undergraduate Equivalency: COMP 557. Mutually Exclusive: Cannot register for COMP 440 if student has credit for COMP 557. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=440&p_subj=COMP,N,0,Artificial Intelligence
3408,"Description: Learning from large dataset is becoming a ubiquitous phenomena in all applications spanning robotics, medical decisions, internet, communication, biology, etc. Designed to give senior UG students a thorough grounding in the theory and algorithms needed for research and practical applications in machine learning for modern massive datasets. Topics draw from machine learning, classical statistics, algorithms and information theory. Graduate/Undergraduate Equivalency: COMP 542. Mutually Exclusive: Cannot register for COMP 441 if student has credit for COMP 542. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=441&p_subj=COMP,N,0,Large-Scale Machine Learning
3409,"Description: Connected mobile devices require updated programming models and design concepts to take advantage of their capabilities. We will explore applications primarily on the Apple iPhone and iPad but will also cover smart watches, Google Android and intelligent voice assistants like Amazon Echo and Google Home. We will briefly touch on the development of web services to support mobile applications. The course culminates with a large project taking up most of the second half of the semester. Although the curriculum centers around and teaches iOS and Xcode, final projects may be completed in any major mobile system including Android and Alexa, etc. Cross-list: ELEC 446. Recommended Prerequisite(s): COMP 310 or prior Object Oriented Programming experience highly recommended.",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=446&p_subj=COMP,N,0,Mobile Device Applications
3410,"Description: An introduction to the basic concepts, algorithms and applications in computer vision. Topics include: cameras, camera models and imaging pipeline, low-level vision/image processing methods such as filtering and edge detection; mid-level vision topics such as segmentation and clustering; shape reconstruction from stereo, introduction to high-level vision tasks such as object recognition and face recognition. The course will involve programming and implementing basic computer vision algorithms in Matlab. Cross-list: ELEC 447, Graduate/Undergraduate Equivalency: COMP 546. Mutually Exclusive: Cannot register for COMP 447 if student has credit for COMP 345/COMP 546. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=447&p_subj=COMP,N,0,Intro To Computer Vision
3411,"Description: Concrete mathematics is a blend of continuous and discrete mathematics. Major topics include sums, recurrences, integer functions, elementary number theory, binomial coefficients, generating functions, discrete probability and asymptotic methods. Cross-list: MATH 448.",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=448&p_subj=COMP,N,0,Concrete Mathematics
3412,"Description: In this project-based course, student teams will complete semester-long data science research or analysis projects selected from a variety of disciplines and industries. Students will also learn best practices in data science. Cross-list: DSCI 435, Graduate/Undergraduate Equivalency: COMP 549. Mutually Exclusive: Cannot register for COMP 449 if student has credit for COMP 549.  Repeatable for Credit. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=449&p_subj=COMP,N,0,Data Science Projects
3413,"Description: Robots have fascinated people for generations. Today, robots are built for applications as diverse as exploring remote planets, de-mining war zones, cleaning toxic waste, assembling cars, inspecting pipes in industrial plants and mowing lawns. Robots are also interacting with humans in a variety of ways: robots are museum guides, robots assist surgeon sin life threatening operations, and robotic cars can drive us around. The field of robotics studies not only the design of new mechanisms but also the development of artificial intelligence frameworks to make these mechanism useful in the physical world, integrating computer science, engineering, mathematics and more recently biology and sociology, in a unique way. This class will present fundamental algorithmic advances that enable today’s robots to move in real environments and plan their actions. It will also explore fundamentals of the field of Artificial Intelligence through the prism of robotics. The class involves a significant programming project. Cross-list: ELEC 450, MECH 450, Graduate/Undergraduate Equivalency: COMP 550. Mutually Exclusive: Cannot register for COMP 450 if student has credit for COMP 550. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=450&p_subj=COMP,N,0,Algorithmic Robotics
3414,"Description: This course is an introduction to cyber-physical systems, engineering artifacts in which computational components interact with and typically control physical components. Some common examples of cyber-physical systems include robots, Segways and lane-departure warning, LDW, systems in automobiles. Graduate/Undergraduate Equivalency: COMP 555. Mutually Exclusive: Cannot register for COMP 451 if student has credit for COMP 555. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=451&p_subj=COMP,N,0,Design&Analysis Cyber/Physical
3415,"Description: This project-based class involves teams of 2-4 CS and Visual Arts students designing and building computer games suitable for Xbox Live Arcade using C# and XNA. For CS students, Comp 160 or Comp 360 is recommended as a prerequisite. For Visual Arts students, previous experience in drawing using Photoshop is suggested. Instructor Permission Required.Cross-list: ARTS 460. Repeatable for Credit. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=460&p_subj=COMP,N,0,Adv Computer Graphics
3416,Description: Topics/requirements/credit hours may vary each semester. Contact Department for curent semester's topic(s).  Repeatable for Credit. ,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=477&p_subj=COMP,N,0,Special Topics
3417,"Description: This course will be ideal for someone wanting to build a strong foundation in the theory and practice of algorithms for processing Big-Data. We will discuss advanced data structures and algorithms going beyond deterministic setting and emphasize the role of randomness in getting significant, often exponential, improvements in computations and memory. Graduate/Undergraduate Equivalency: COMP 580. Recommended Prerequisite(s): COMP 382",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=480&p_subj=COMP,N,0,Probabilistic Algorithms And D
3418,"Description: Finite automata, regular expressions, regular languages, pushdown automata, context-free languages, Turing machines, recursive languages, computability, and solvability. It is strongly recommended that students complete three semesters of Mathematics before enrolling in this course. Graduate/Undergraduate Equivalency: COMP 581. Mutually Exclusive: Cannot register for COMP 481 if student has credit for COMP 581. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=481&p_subj=COMP,N,0,Automata/Formal Lang/Computing
3419,"Description: This course will introduce basic principles of image acquisition, formation and processing of several medical imaging modalities such as X-Ray, CT, MRI, and US that are used to evaluate the human anatomy. The course also includes visits to a clinical site to gain experience with the various imaging modalities covered in class. Cross-list: BIOE 485, ELEC 485. Recommended Prerequisite(s): MATH 211 and MATH 212.",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=485&p_subj=COMP,N,0,Fund Medical Imaging I
3420,"Description: This course focuses on functional imaging modalities used specifically in nuclear medicine such as Gamma cameras, SPECT, and PET imaging. The course will introduce the basic principles of image acquisition, formation, processing and the clinical applications of these imaging modalities and lays the foundations for understanding the principles of radiotracer kinetic modeling. A trip to a clinical site in also planned to gain experience with nuclear medicine imaging. Cross-list: BIOE 486, ELEC 486. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=486&p_subj=COMP,N,0,Fund Medical Imaging Ii
3421,"Description: In Computational Complexity we study the computational resources (time, space, communication, etc.) that are required to solve computational problems via various computational needs. Specifically, we are interested in classifying computational problems with classes of other problems that require similar amount of resources to solve. Graduate/Undergraduate Equivalency: COMP 587. Mutually Exclusive: Cannot register for COMP 487 if student has credit for COMP 587. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=487&p_subj=COMP,N,0,Computational Complexity
3422,Description: Theoretical and experimental investigation under staff direction. Instructor Permission Required. Repeatable for Credit. ,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=490&p_subj=COMP,N,0,Computer Science Projects
3423,Description: A combination of in-service teaching and a seminar.   Department Permission Required. Repeatable for Credit. ,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=491&p_subj=COMP,N,0,Computer Science Teaching
3424,"Description: A seminar course to introduce students to topics in Data Science at the interface between Statistics and Computer Science. Students participate in the process of preparing, delivering and critiquing talks. Topics change each semester. Instructor Permission Required.Cross-list: STAT 496, Graduate/Undergraduate Equivalency: COMP 696. Mutually Exclusive: Cannot register for COMP 496 if student has credit for COMP 696.  Repeatable for Credit. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=496&p_subj=COMP,N,0,Rtg Cross-Training In Data Sci
3425,"Description: The course will provide the student with a mathematical introduction to many of the key ideas used in today's intelligent robot systems. The focus of the course is on the analysis and control of manipulators. The course will also give an overview of common approaches to building intelligent robot systems. Cross-list: ELEC 498, MECH 498, Graduate/Undergraduate Equivalency: COMP 598. Recommended Prerequisite(s): MECH 211 or CEVE 211 or MECH 310 Mutually Exclusive: Cannot register for COMP 498 if student has credit for COMP 598. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=498&p_subj=COMP,N,0,Introduction To Robotics
3426,"Description: This course focuses on the principles and practices of test-driven software development, which have been popularized under the banner of ""Extreme Programming."" To provide students with practical experience, the course engages students in the development of open source production programs written in JAVA or C#. The DRJAVA programming courses was developed by students in this course.  Some of the major topics covered in course lectures include design patterns for controlling concurrency and refactoring transformations to improve legacy code. Graduate/Undergraduate Equivalency: COMP 402. Mutually Exclusive: Cannot register for COMP 501 if student has credit for COMP 402. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=501&p_subj=COMP,N,0,Production Programming
3427,"Description: Review of major neural machine learning (Artificial Neural Network) paradigms. Analytical discussion of supervised and unsupervised neural learning algorithms and their relation to information theoretical methods. Practical applications to data analysis such as pattern recognition, clustering, classification, function approximation/regression, non-linear PCA, projection pursuit, independent component analysis, with lots of examples from image and digital processings. Details are posted at www.ece.rice.edu/~erzsebet/ANNcourse.html. Cross-list: ELEC 502, STAT 502. Recommended Prerequisite(s): ELEC 430 and ELEC 431 or equivalent or permission of instructor.",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=502&p_subj=COMP,N,0,Neural Machine Learning I
3428,"Description: Our reliance on software of all forms is increasing by the day. As a result, it is more important than ever to ensure that programs function correctly and cannot be exploited by hostile adversaries. The field of formal methods takes on this challenge, developing algorithms and programming methodologies that can be used to formally reason about what happens when software executes on arbitrary inputs, often without actually executing the program. Such reasoning can be used, for example, to identify subtle bugs and vulnerabilities in programs, or to give mathematical proofs of program correctness. This is a hands-on introduction to the field of formal methods. In this class, you will learn the theoretical foundations of these systems; you will also implement a series of systems that can be used to reason about the correctness of C programs. Graduate/Undergraduate Equivalency: COMP 403. Mutually Exclusive: Cannot register for COMP 503 if student has credit for COMP 403. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=503&p_subj=COMP,N,0,Reasoning About Software
3429,Description: Discover how stat-of-the-art object-orient programming and design techniques can create globe-spanning software systems that are both flexible and scalable. Learn how software design patterns are used in multiple programming paradigms. Explore highly decoupled systems with dynamically configurable behaviors. Highly recommended for anyone interested in building large systems and software engineering. Basic proficiency in Java is required. Students may not receive credit for both COMP 310/510 and COMP 404/504.  Mutually Exclusive: Cannot register for COMP 504 if student has credit for COMP 310/COMP 404/COMP 510. ,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=504&p_subj=COMP,N,0,Gr Obj-Oriented Prog & Design
3430,"Description: A topics-driven exploration of cutting-edge object oriented design issues and concepts including mutable recursive data frameworks, design patterns for sorting, parsing and games, service-oriented architectures and cloud computing. Detailed knowledge and practice in abstract structure and behavioral representations, delegation model programming, design patterns and Java are required. Graduate/Undergraduate Equivalency: COMP 405. Mutually Exclusive: Cannot register for COMP 505 if student has credit for COMP 405. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=505&p_subj=COMP,N,0,Adv Top Object/Oriented Design
3431,"Description: Topics in the design of programming language translators, including parsing, run-time storage management, error recovery, code generation and optimization. Graduate/Undergraduate Equivalency: COMP 412. Mutually Exclusive: Cannot register for COMP 506 if student has credit for COMP 412. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=506&p_subj=COMP,N,0,Compiler Construction - Gr
3432,"Description: This course is a graduate-level introduction to computer-aided program design, a field that studies logical and algorithmic techniques for formally verifying programs, and mechanized derivation of programs that are correct by construction. Topics covered will include classical automated program verification in particular abstract interpretation and model checking - as well as recent developments in algorithmic program synthesis. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=507&p_subj=COMP,N,0,Computer-Aided Program Design
3433,"Description: Logic has been called ""the calculus of computer science"". The argument is that logic plays a fundamental role in computer science, similar to that played by calculus in the physical sciences and traditional engineering disciplines. Indeed, logic plays an important role in areas of Computer Science as disparate as artificial intelligence (automated reasoning), architecture (logic gates), software engineering (specification and verification), programming languages (semantics, logic programming), databases (relational algebra and SQL), algorithms (complexity and expressiveness), and theory of computation (general notions of computability). Graduate/Undergraduate Equivalency: COMP 409. Mutually Exclusive: Cannot register for COMP 509 if student has credit for COMP 409. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=509&p_subj=COMP,N,0,Adv Logic In Computer Science
3434,"Description: The design, definition and abstract implementation of programming languages including methods for precisely specifying syntax and semantics. Graduate/Undergraduate Equivalency: COMP 411. Mutually Exclusive: Cannot register for COMP 511 if student has credit for COMP 411. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=511&p_subj=COMP,N,0,Principles Of Prog Languages
3435,"Description: Advanced topics in the design of an optimizing compiler. This course will focus on analysis and optimization of programs for uniprocessor machines, including program analysis (data-flow analysis, construction of static single-assignment form) and program transformation (redundancies, constant values, strength reduction, etc.). The course uses a variety of readings from the literature and includes an implementation project.  Recommended Prerequisite(s): COMP 412 or COMP 506.",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=512&p_subj=COMP,N,0,Advanced Compiler Construction
3436,"Description: A modern computer is a system with enormous complexity in both software and hardware. The course presents the principles for managing such complexity using examples from modern computing systems. It covers emergent issues from system complexity such as energy efficiency, bug finding, and heterogeneous hardware. It also covers designing experiments and writing systems papers. The course consists of lectures, student presentation of classic papers, and a final project. Cross-list: ELEC 513.",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=513&p_subj=COMP,N,1,Complexity In Modern Systems
3437,"Description: The main focus of the course will be on smooth optimization techniques, with applications in machine learning and artificial intelligence. The course will introduce the basics of algorithms on continuous optimization, starting from the classical gradient descent algorithm in convex optimization, towards more sophisticated approaches in non-convex scenarios. The course will explore the fundamental theory, algorithms, complexity and approximations in nonlinear optimization. Graduate/Undergraduate Equivalency: COMP 414. Mutually Exclusive: Cannot register for COMP 514 if student has credit for COMP 414. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=514&p_subj=COMP,N,0,"Algorithms, Complex. & Approx"
3438,"Description: Advanced compilation techniques for vector and parallel computer systems, including the analysis of program dependence, program transformations to enhance parallelism, compiler management of the memory hierarchy, interprocedural data flow analysis, and parallel debugging.  Recommended Prerequisite(s): COMP 412.",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=515&p_subj=COMP,N,0,Adv Compilation Vector Paralel
3439,"Description: This is a project-based class that provides students with the opportunity to apply their knowledge of distributed computing principles to designed and develop a single, large distributed application that utilizes the public cloud. Students will learn about the basic services for computing, storage, and commination that are supported by the new generation of ""public utilities"" that provide the infrastructure for the public cloud, and how to utilize these services to engineer a robust, scalable application. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=516&p_subj=COMP,N,0,Cloud Computing Practicum
3440,"Description: In this seminar, we will investigate advanced topics in the design and implementation of operating systems, including: OS structure (includingWeb Browsers), concurrency and synchronization, memory management, file systems and storage, virtual machines, and information protection. We will explore both fundamental and hot topics through reading, discussing, and presenting key research findings. This course will also cover methods for critiquing, writing, and presenting research findings through a course long project. Graduate/Undergraduate Equivalency: COMP 417. Mutually Exclusive: Cannot register for COMP 517 if student has credit for COMP 417. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=517&p_subj=COMP,N,0,Advanced Operating Systems
3441,"Description: This course is an introduction to the Internet of Things (IoT). It will present the tools and techniques needed to develop complex IoT applications that encompass interaction with the physical world and data analysis across the IoT computing infrastructure. The topics range from programming microcontrollers (e.g., Arduino) and single-board computers (e.g., Raspberry Pi) to IoT automation and the efficient analysis of real-time IoT data. Graduate/Undergraduate Equivalency: COMP 418.",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=518&p_subj=COMP,N,0,Iot Programing Data Analysis
3442,"Description: Since the advent of Sanger Sequencing in 1977, computer scientists have been devising algorithms and software tools to interpret and analyze DNA sequences. The field of bioinformatics focuses on computational approaches to solving biological questions. This course will serve as an introduction to widely used algorithms in bioinformatics used for pattern searching, genome assembly, sequence alignment, and clustering of biological data. No prior knowledge of biology is assumed. The class involves several programming assignments. Graduate/Undergraduate Equivalency: COMP 416.",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=519&p_subj=COMP,N,0,Genome-Scale Algorithms
3443,"Description: Distributed systems: workstations, local area networks, server machines. Multiprocess structuring and interprocess communication. File access and memory management. User interfaces: window systems and command interpreters.  Case studies of selected distributed systems.  Emphasis on performance aspects of system software design. Cross-list: ELEC 520.",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=520&p_subj=COMP,N,0,Distributed Systems
3444,"Description: Introduction to the design, construction, and analysis of concurrent programs with an emphasis on operating systems, including filing systems, schedulers, and memory allocators. Specific attention is devoted to process synchronization and communication within concurrent programs. Additional coursework required beyond the undergraduate course requirements. Cross-list: ELEC 552, Graduate/Undergraduate Equivalency: COMP 421. Mutually Exclusive: Cannot register for COMP 521 if student has credit for COMP 421. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=521&p_subj=COMP,N,0,Op Sys/Concurrent Programming
3445,"Description: Multi-core microprocessors are becoming the norm. The course will focus on emerging multi-core processor architectures and challenges to using them effectively. Topics include multi-core microprocessors, memory hierarchy, synchronization, programming systems, scheduling, and transactional memory. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=522&p_subj=COMP,N,0,Multi-Core Computing
3446,"Description: The course introduces students to modern cryptographic techniques, focusing mainly on mathematical tools. The course covers topics such as Diffie-Hellman key exchange, the ElGamal public key crypto system, integer factorization and RSA, and elliptic curves and lattices in cryptography. Graduate/Undergraduate Equivalency: COMP 323. Mutually Exclusive: Cannot register for COMP 523 if student has credit for COMP 323/MATH 323. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=523&p_subj=COMP,N,0,Intro To Math Cryptography
3447,"Description: Study of network protocols for mobile and wireless networking, particularly at the media access control, network, and transport protocol layers. Focus is on the unique problems and challenges presented by the properties of wireless transmission and host or router mobility. Cross-list: ELEC 524. Recommended Prerequisite(s): COMP 421 OR ELEC 421.",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=524&p_subj=COMP,N,0,Mobile And Wireless Networking
3448,"Description: Virtualized computer architectures. Processor, memory and storage virtualization techniques. Resource allocation and scheduling of virtual machines. Cloud architectures and infrastructure. Utility computing. Cross-list: ELEC 525.",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=525&p_subj=COMP,N,0,Virtual & Cloud Resource Mgmt
3449,"Description: Design of high performance computer systems, including shared-memory and message-passing multiprocessors and vector systems. Hardware and software techniques to tolerate and reduce memory and communication latency. Case studies and performance simulation of high-performance systems. Cross-list: ELEC 526. Recommended Prerequisite(s): ELEC 425 or COMP 425",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=526&p_subj=COMP,N,0,High Perform Computer Arch
3450,"Description: This class will focus on computer security in real systems.  We will cover theory and practice for the design of secure systems (formal modeling, hardware and compiler-enforced safety, software engineering processes, tamper-resistant and tamper-reactive hardware, firewalls, cryptography, and more).  Recommended Prerequisite(s): (COMP 311 or COMP 412) and (COMP 421 or COMP 429).",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=527&p_subj=COMP,N,0,Computer Systems Security
3451,"Description: System-level virtualization is an integral part of modern computer systems, spanning both hardware and software. This course will explore the various types of system-level virtualization and the hardware and software mechanisms that support them. The course will explore the interplay among hypervisors, operating systems, processors, memory, and I/O devices in modern virtualized systems. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=528&p_subj=COMP,N,0,Introduction To Virtualization
3452,"Description: This course explores advanced solutions in computer networks that are driven by the need to go beyond the best-effort capabilities of the Internet. Topics include network fault tolerance, traffic engineering, scalable data center network architectures, network support for big data processing, network support for cloud computing, extensible network control via software defined networking, denial-of-service-attack defense mechanisms. Readings from original research papers. Also include design project and oral presentation components. This course assumes students already have a good understanding of the best-effort Internet. Cross-list: ELEC 529. Repeatable for Credit. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=529&p_subj=COMP,N,0,Advanced Computer Networks
3453,"Description: This course covers database management system architecture, query processing and optimization, transaction processing, concurrent control and recover, storage, indexing structures and related topics. Students will build a database system from the ground up.  Graduate students who have not had an introductory database course should enroll for 4 credits: all others should enroll for 3 credits. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=530&p_subj=COMP,N,0,Database System Implementation
3454,"Description: This project-based course explores Web application creation and design. Students are involved in the development of front-end and back-end systems while interfacting client-server communications technologies. Students will evaluate Web structural frameworks, Web development technologies, apply test driven development, and create multi-user Web applications. Graduate/Undergraduate Equivalency: COMP 431. Recommended Prerequisite(s): COMP 310 or COMP 321 Mutually Exclusive: Cannot register for COMP 531 if student has credit for COMP 431. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=531&p_subj=COMP,N,0,Web Development And Design
3455,"Description: Introduction to distributed computer systems. The course covers concepts, architecture, algorithms, protocols, and implementation, focusing on distribution, scale, robustness in the face of failure, and security. Additional coursework required beyond the UG course requirements. Graduate/Undergraduate Equivalency: COMP 420. Mutually Exclusive: Cannot register for COMP 532 if student has credit for COMP 420. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=532&p_subj=COMP,N,0,Intro To Distributed Comp Sys
3456,"Description: Introduction to relational and other database systems, SQL programming, Database application programming, and Database design. This course is designed for students without prior database experience. Graduate/Undergraduate Equivalency: COMP 430. Mutually Exclusive: Cannot register for COMP 533 if student has credit for COMP 430. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=533&p_subj=COMP,N,0,Intro To Database Systems
